PROVINCIA,POB,ESP_VIDA,INGRESOS
FLORIDA,8117.86295503212,71.8913374447978,486.65522857456
JAZAN,8515.26766595289,71.6928793748632,919.43050522809
RECTA,148.978586723769,68.9394876750971,473.334344569166
SAN CARLOS,319.062098501071,69.1775125209267,431.233927896735
SHIPASBAMBA,1859.43683083512,72.0241280187113,487.565418449369
VALERA,980.053533190578,67.0781137887025,734.635173912408
YAMBRASBAMBA,7743.62526766595,70.7694211955591,540.543265581639
CONDORCANQUI,51593.7473233405,66.2196274420332,230.671967079282
NIEVA,24777.7773019272,66.038823611301,331.17436657208
EL CENEPA,9639.34689507495,70.0470675596351,166.595367047487
RIO SANTIAGO,17176.6231263383,64.3687440521877,121.653478194404
LUYA,47607.1584582441,71.0418705191048,473.25829102871
LAMUD,2028.00214132762,71.7140440017884,811.135646400835
CAMPORREDONDO,7191.86295503212,69.6573903403093,517.606860454025
COCABAMBA,2188.85010706638,68.5540807516415,319.960619781906
COLCAMAR,1849.95931477516,72.5275349978703,309.360687611291
CONILA,1889.73875802998,75.9711015064255,372.457005516162
INGUILPATA,424.687366167024,73.7268040565806,383.757562926304
LONGUITA,1045.97858672377,71.4188250703857,277.162939646068
LONYA CHICO,735.72591006424,73.6204384819308,473.300328538558
LUYA,4145.03640256959,74.2198028621008,524.053654086053
LUYA VIEJO,455.768736616702,78.1612217633712,338.292240410097
MARIA,830.946466809422,70.2781116220065,385.691516857735
OCALLI,4161.73661670236,68.4242410659025,468.619197982282
OCUMAL,3978.11563169165,68.9992986536052,303.391054714109
PISUQUIA,5611.72376873662,69.0040953345329,707.060653359232
PROVIDENCIA,1289.50535331906,71.148164190763,244.203542225008
SAN CRISTOBAL,536.710920770878,72.9174456527761,434.232647203926
SAN FRANCISCO DEL YESO,701.970021413276,69.9127416226191,686.879130958898
SAN JERONIMO,610.385438972163,72.20127203901,282.154668280873
SAN JUAN DE LOPECANCHA,367.250535331906,72.8738173233312,586.205954463131
SANTA CATALINA,1917.09207708779,73.399438761988307,367.190596949982
SANTO TOMAS,3015.23768736617,69.5313583748753,306.078896397217
TINGO,1264.31263383298,67.073305903216,739.176493018353
TRITA,1366.56102783726,76.2653977885211,464.230294811099
RODRÍGUEZ DE MENDOZA,32535.7708779443,70.7282192500745,540.180939188607
SAN NICOLAS,5985.64668094218,73.6375722963794,973.558105171977
CHIRIMOTO,2376.47323340471,67.8594507601649,304.042809726535
COCHAMAL,521.843683083512,76.1555130827283,548.480746988181
HUAMBO,2117.75160599572,71.7056802998888,745.488917390267
LIMABAMBA,2938.25481798715,67.7225194228552,314.745271858046
LONGAR,1569.76017130621,71.8702911173267,691.153199446435
MARISCAL BENAVIDES,1369.32976445396,73.0043517226077,866.135996987515
MILPUC,459.436830835118,67.7249083994365,509.577824827425
OMIA,10480.4625267666,68.5016931605641,397.099319946342
SANTA ROSA,412.113490364026,76.1701827151837,632.910910691589
TOTORA,319.708779443255,68.4088741916342,847.182778330749
VISTA ALEGRE,3984.98929336188,69.482747004807,260.211145380786
UTCUBAMBA,108203.830835118,71.4945249126438,827.896776508281
BAGUA GRANDE,50553.4411134904,71.579029618984407,883.723552600844
CAJARURO,24816.6338329764,71.5328908898475,870.082331275868
CUMBA,7323.82655246253,70.7633415600714,586.971925409676
EL MILAGRO,5660.02569593148,72.2912549648168,1076.12782323331
JAMALCA,6951.76445396146,70.9910884066056,678.79377798331
LONYA GRANDE,10327.6659528908,70.8491452257363,673.475341201731
YAMON,2570.47323340471,70.229505986281,486.208931454603
HUARAZ,169779.995717345,74.7823352799658,902.681468184336
HUARAZ,64284.0021413276,74.3215295635943,1025.00630834349
COCHABAMBA,1668.66595289079,69.9562565658777,293.691240113526
COLCABAMBA,604.933618843683,71.6682030760598,453.30504222713
HUANCHAY,1448.38115631692,70.4355072980579,312.32924709051
INDEPENDENCIA,78605.0471092077,75.2986091671784,958.092036980988
JANGAS,5142.76231263383,78.798678139529,563.857243232722
LA LIBERTAD,960.518201284797,71.1830213155256,137.792253040191
OLLEROS,1871.43040685225,74.4958654901739,299.78774915389
PAMPAS,915.72591006424,70.035804203479,310.694930613321
PARIACOTO,4759.38115631692,73.0382164254398,368.762328801604
PIRA,3229.26338329764,76.1215312038572,361.914478227737
TARICA,6289.88436830835,76.5817495874849,641.782520806934
AIJA,6570,63.7961218497704,502.852782279336
AIJA,1789.55674518201,63.3166457292864,699.804467170808
CORIS,1929.89935760171,63.3863343374975,449.088673402353
HUACLLAN,510.766595289079,63.5470702432495,388.256459249472
LA MERCED,1653.426124197,63.9082597647544,343.684415111776
SUCCHA,686.351177730193,66.1086389613558,609.224295212269
ANTONIO RAYMONDI,13614.7408993576,71.4576969541614,301.19489326702
LLAMELLIN,3118.8329764454,70.1343313646033,503.879105936517
